ad_id,area,area_sqm,building_type,category,city,currency,detail_url,district,floor,floor_numeric,image_count,listing_date,listing_date_raw,listing_type,location_full,ownership_document,price,price_per_sqm,price_text,property_type,rooms,rooms_numeric,scraped_at,seller_category,seller_type,short_description,source_page,title,total_floors,total_floors_numeric,transaction_type
167151,92,92.0,,Torpaq sahələri,Bakı,AZN,https://qarabazar.az/92-sot-Senaye-Teyinatli-torpaq-satilir-adv167151.html,Baş Ələt,,,4,"dünən, 21:54","Dünən, 21:54",,Bakı♦Baş Ələt,Var,730000,7934.78,730 000 azn,land,,,2026-01-01T14:16:10.774260,agent,Vasitəçi(makler),"92 sot Sənaye Təyinatlı torpaq satılır
Ələtdə Trasdan 600...",1,92 sot Sənaye Təyinatlı torpaq satılır,,,other
167148,63,63.0,,Yeni tikili binalar,Bakı,AZN,https://qarabazar.az/2-otaqli-Menziller-satilir-Azadliq-metro-etraf-adv167148.html,7-ci mikrorayon,5,5,9,"dünən, 21:54","Dünən, 21:54",,Bakı♦7-ci mikrorayon,Yoxdur,126000,2000.0,126 000 azn,apartment,2 otaq,2,2026-01-01T14:16:10.775905,agent,Vasitəçi(makler),"2 otaqlı Mənzillər satılır Azadliq metro ətrafı 
  Xəmsə ...",1,2 otaqlı Mənzillər satılır Azadliq metro ətraf,16,16,other
167138,64,64.0,,Yeni tikili binalar,Abşeron r.,AZN,https://qarabazar.az/2-otaqli-Mansard-Menzil-satilir-adv167138.html,Masazır,8,8,7,"dünən, 21:53","Dünən, 21:53",,Abşeron r.♦Masazır,Yoxdur,50000,781.25,50 000 azn,apartment,2 otaq,2,2026-01-01T14:16:10.777410,agent,Vasitəçi(makler),"2 otaqlı Mansard Mənzillər satılır Azadliq küşəsində
LİFT...",1,2 otaqlı Mansard Mənzil satılır,8,8,other
16508308,20,20.0,Bina altı,Kiraye / icare obyektler,Bakı,AZN,https://qarabazar.az/28-mayda-20kv-obyekt-icaresi-adv16508308.html,metro 28 May,,,5,"2025,-12-30","30 dekabr 2025, 23:39",,Bakı♦metro 28 May,,400,20.0,400 azn,commercial,,,2026-01-01T14:16:10.778819,agent,Vasitəçi(makler),Nəsimi rayonu 28may metrosunun yaxınlığı obyekt yaşayış bi...,1,28 mayda 20kv obyekt icaresi,,,rent
16508305,50,50.0,,Yeni tikili (новостройки),Bakı,AZN,https://qarabazar.az/Yasamalda-2-otagli-kiraye-menzil-20Ynvar-metrosunun-yani-adv16508305.html,Yasamal,14,14,11,"2025,-12-30","30 dekabr 2025, 14:44",Kiraye ev verirem,Bakı♦Yasamal,,699,13.98,699 azn,apartment,2 otaq,2,2026-01-01T14:16:10.779954,agent,Vasitəçi(makler),ilk defedi kiraye verilir. Fikri Ciddi olan Zeng etsin Unv...,1,Yasamalda 2 otagli kiraye menzil 20Ynvar metrosunun yani,18,18,other
16508296,,,,"Həyət evləri, Villa",Abşeron r.,AZN,https://qarabazar.az/Xirdalanda-3-otaqli-heyet-evi-satilir-adv16508296.html,Xırdalan,,,11,2025-12-30,30 dekabr 2025,,Abşeron r.♦Xırdalan,Yoxdur,62000,,62 000 azn,house,3 otaq,3,2026-01-01T14:16:10.781419,agent,Vasitəçi(makler),"Xırdalanda 3 otaqlı həyət evi satılır.

- Plan:  Ev orta...",1,Xirdalanda 3 otaqli heyet evi satilir,,,other
16508291,190,190.0,,Yeni tikili binalar,Bakı,AZN,https://qarabazar.az/4-otaqli-temirli-menzil-satilir-adv16508291.html,metro İnşaatçılar,7,7,4,2025-12-29,29 dekabr 2025,,Bakı♦metro İnşaatçılar,Var,450000,2368.42,450 000 azn,apartment,4 otaq,4,2026-01-01T14:16:10.782981,agent,Vasitəçi(makler),"4 otaqlı təmirli mənzil satılır 190 kv.m
 10 /7-ci mərtəb...",1,4 otaqlı təmirli mənzil satılır,10,10,other
163434,,,,"Həyət evləri, Villa",Şamaxı,AZN,https://qarabazar.az/VILLA-satilir-Samaxi-rayonu-Kirovka-adv163434.html,,,,,2025-12-29,29 dekabr 2025,,Şamaxı,Var,325000,,325 000 azn,house,4 otaq,4,2026-01-01T14:16:10.784340,agent,Vasitəçi(makler),VİLLA satılır Şamaxı rayonu Kirovka-Nağaraxana kəndi 21 so...,1,VİLLA satılır Şamaxı rayonu Kirovka,,,other
150298,550000,550000.0,,Torpaq sahələri,İmişli,AZN,https://qarabazar.az/5500-hektar-erazi-sat-l-r-Aran-Region-adv150298.html,,,,2,2025-12-29,29 dekabr 2025,,İmişli,Var,5000000,9.09,5 000 000 azn,land,,,2026-01-01T14:16:10.785489,agent,Vasitəçi(makler),"Əkin ərazileri satílír ARAN Region
5500 hektar 40 illik �...",1,5500 hektar ərazi satílír Aran Region,,,other
151113,250,250.0,Bina altı,Satilan obyektler,Abşeron r.,AZN,https://qarabazar.az/Restoran-sat-l-r-Xirdalanda-adv151113.html,Xırdalan,,,,2025-12-29,29 dekabr 2025,,Abşeron r.♦Xırdalan,,450000,1800.0,450 000 azn,commercial,,,2026-01-01T14:16:10.786598,agent,Vasitəçi(makler),"Restoran satılır 
   250 kv.m,tam avadanlıqla 
    Xırda...",1,Restoran satílír Xirdalanda,,,sale
